model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
NeuralNetFastAI_r143_BAG_L1,-0.30880948546061304,-0.3118904183698972,root_mean_squared_error,0.06126236915588379,0.08025574684143066,3.513727903366089,0.06126236915588379,0.08025574684143066,3.513727903366089,1,True,37
LightGBMXT_BAG_L1,-0.30891638555830686,-0.3084351533491514,root_mean_squared_error,0.008402824401855469,0.009985208511352539,1.2242906093597412,0.008402824401855469,0.009985208511352539,1.2242906093597412,1,True,1
ExtraTrees_r172_BAG_L1,-0.30892843836580325,-0.3113888951520807,root_mean_squared_error,0.057114601135253906,0.06721949577331543,0.46355581283569336,0.057114601135253906,0.06721949577331543,0.46355581283569336,1,True,32
XGBoost_r31_BAG_L1,-0.30904713286466734,-0.315627300217548,root_mean_squared_error,0.07513260841369629,0.02545022964477539,1.1892695426940918,0.07513260841369629,0.02545022964477539,1.1892695426940918,1,True,73
LightGBM_r130_BAG_L1,-0.3091995178559511,-0.3138113301809683,root_mean_squared_error,0.007874727249145508,0.011736631393432617,1.1417229175567627,0.007874727249145508,0.011736631393432617,1.1417229175567627,1,True,27
NeuralNetFastAI_r4_BAG_L1,-0.3092357152963613,-0.3092823851317853,root_mean_squared_error,0.0503537654876709,0.05557441711425781,3.9746246337890625,0.0503537654876709,0.05557441711425781,3.9746246337890625,1,True,94
CatBoost_r13_BAG_L1,-0.3092664540215387,-0.3118425422632018,root_mean_squared_error,0.014591217041015625,0.01092386245727539,12.578087329864502,0.014591217041015625,0.01092386245727539,12.578087329864502,1,True,21
CatBoost_r86_BAG_L1,-0.30930879584984,-0.3118934095474824,root_mean_squared_error,0.014242172241210938,0.012659549713134766,8.711987018585205,0.014242172241210938,0.012659549713134766,8.711987018585205,1,True,48
NeuralNetFastAI_r69_BAG_L1,-0.30942898335096697,-0.3087961246975237,root_mean_squared_error,0.10816717147827148,0.11680483818054199,4.269581317901611,0.10816717147827148,0.11680483818054199,4.269581317901611,1,True,80
CatBoost_r6_BAG_L1,-0.309475774965688,-0.3125566497209873,root_mean_squared_error,0.016576290130615234,0.008340120315551758,1.3829708099365234,0.016576290130615234,0.008340120315551758,1.3829708099365234,1,True,81
NeuralNetFastAI_r100_BAG_L1,-0.30951804057545357,-0.31147292962058737,root_mean_squared_error,0.2069258689880371,0.1412034034729004,21.47426152229309,0.2069258689880371,0.1412034034729004,21.47426152229309,1,True,97
CatBoost_r12_BAG_L1,-0.30959885974765494,-0.3117649309762428,root_mean_squared_error,0.016541004180908203,0.010990619659423828,4.75058913230896,0.016541004180908203,0.010990619659423828,4.75058913230896,1,True,92
ExtraTrees_r42_BAG_L1,-0.30970468431600356,-0.31170123966554847,root_mean_squared_error,0.05077075958251953,0.06062197685241699,0.5591018199920654,0.05077075958251953,0.06062197685241699,0.5591018199920654,1,True,18
XGBoost_r22_BAG_L1,-0.30981152042830723,-0.31617861245174234,root_mean_squared_error,0.05491495132446289,0.024808168411254883,0.8953864574432373,0.05491495132446289,0.024808168411254883,0.8953864574432373,1,True,79
XGBoost_r95_BAG_L1,-0.30984058387761304,-0.3172976376941075,root_mean_squared_error,0.032178401947021484,0.026701927185058594,0.6964666843414307,0.032178401947021484,0.026701927185058594,0.6964666843414307,1,True,102
LightGBM_r15_BAG_L1,-0.310036806586156,-0.3144681423698065,root_mean_squared_error,0.012503862380981445,0.013116836547851562,1.1796729564666748,0.012503862380981445,0.013116836547851562,1.1796729564666748,1,True,46
LightGBM_r135_BAG_L1,-0.31009065190448243,-0.31470014214808967,root_mean_squared_error,0.03103017807006836,0.01237034797668457,1.1838972568511963,0.03103017807006836,0.01237034797668457,1.1838972568511963,1,True,78
ExtraTrees_r197_BAG_L1,-0.3102048963188371,-0.3142377369153375,root_mean_squared_error,0.046619415283203125,0.06648612022399902,1.0582854747772217,0.046619415283203125,0.06648612022399902,1.0582854747772217,1,True,87
ExtraTreesMSE_BAG_L1,-0.3102048963188371,-0.3142377369153375,root_mean_squared_error,0.31592750549316406,0.07482314109802246,0.35846686363220215,0.31592750549316406,0.07482314109802246,0.35846686363220215,1,True,5
CatBoost_r128_BAG_L1,-0.3104701160951358,-0.31379852900431127,root_mean_squared_error,0.023775577545166016,0.01044464111328125,9.036957502365112,0.023775577545166016,0.01044464111328125,9.036957502365112,1,True,59
NeuralNetFastAI_r172_BAG_L1,-0.3105973666922473,-0.3120882120959939,root_mean_squared_error,0.04246997833251953,0.05730271339416504,3.637722969055176,0.04246997833251953,0.05730271339416504,3.637722969055176,1,True,84
NeuralNetFastAI_r103_BAG_L1,-0.3106076809919876,-0.31172737194743877,root_mean_squared_error,0.07875967025756836,0.07194185256958008,5.119758605957031,0.07875967025756836,0.07194185256958008,5.119758605957031,1,True,34
NeuralNetFastAI_r127_BAG_L1,-0.31073150201274014,-0.3149728949467462,root_mean_squared_error,0.06339097023010254,0.0611269474029541,3.3906631469726562,0.06339097023010254,0.0611269474029541,3.3906631469726562,1,True,89
NeuralNetFastAI_r191_BAG_L1,-0.31094348899589747,-0.31557547854932205,root_mean_squared_error,0.07060575485229492,0.0838010311126709,6.862078428268433,0.07060575485229492,0.0838010311126709,6.862078428268433,1,True,13
NeuralNetFastAI_r88_BAG_L1,-0.31103885522514757,-0.3156124341831537,root_mean_squared_error,0.06712937355041504,0.0669713020324707,3.9760239124298096,0.06712937355041504,0.0669713020324707,3.9760239124298096,1,True,64
NeuralNetFastAI_r194_BAG_L1,-0.3110494839531998,-0.30588074585121594,root_mean_squared_error,0.10389232635498047,0.07272529602050781,4.1156933307647705,0.10389232635498047,0.07272529602050781,4.1156933307647705,1,True,91
ExtraTrees_r178_BAG_L1,-0.3113195903648,-0.3103759325078483,root_mean_squared_error,0.040717363357543945,0.05470776557922363,0.813636064529419,0.040717363357543945,0.05470776557922363,0.813636064529419,1,True,71
LightGBM_BAG_L1,-0.31160819033889126,-0.3175760212831784,root_mean_squared_error,0.0071926116943359375,0.008294105529785156,1.313765287399292,0.0071926116943359375,0.008294105529785156,1.313765287399292,1,True,2
ExtraTrees_r49_BAG_L1,-0.3117764761493007,-0.31137042863489334,root_mean_squared_error,0.05472135543823242,0.07062363624572754,0.8186278343200684,0.05472135543823242,0.07062363624572754,0.8186278343200684,1,True,52
LightGBM_r131_BAG_L1,-0.3120444004585176,-0.316112233951573,root_mean_squared_error,0.02506256103515625,0.0218355655670166,1.9450955390930176,0.02506256103515625,0.0218355655670166,1.9450955390930176,1,True,12
ExtraTrees_r126_BAG_L1,-0.31207001805176005,-0.31074629797047965,root_mean_squared_error,0.04111456871032715,0.05823326110839844,0.865980863571167,0.04111456871032715,0.05823326110839844,0.865980863571167,1,True,95
XGBoost_r34_BAG_L1,-0.3121493022064917,-0.31757832625247506,root_mean_squared_error,0.056494712829589844,0.06291389465332031,3.4549264907836914,0.056494712829589844,0.06291389465332031,3.4549264907836914,1,True,103
LightGBM_r143_BAG_L1,-0.3122619572092194,-0.317491494246244,root_mean_squared_error,0.03830981254577637,0.018283367156982422,2.0717661380767822,0.03830981254577637,0.018283367156982422,2.0717661380767822,1,True,53
XGBoost_r98_BAG_L1,-0.3122644249314479,-0.31512683119565477,root_mean_squared_error,0.23064541816711426,0.07415199279785156,5.512168645858765,0.23064541816711426,0.07415199279785156,5.512168645858765,1,True,45
