,method,n_features,selected_features,rmse_mean,rmse_std,r2_mean,r2_std,alpha
16,RFE,17,"['PROP_ESC_URBANA', 'PROP_MAT_BRANCA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'PROP_MAT_INDIGENA', 'COBERTURA_CRECHE_0_3', 'ESCOLAS_CRECHE_POR_1000_CRIAN', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'TAXA_OCUP_FEM', 'TAXA_OCUP_MASC', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.3391898386732929,0.010105549236389118,0.0974240357105434,0.05551518632334225,
42,RFS_forward,21,"['PROP_ESC_URBANA', 'PROP_MAT_BRANCA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'PROP_MAT_INDIGENA', 'COBERTURA_CRECHE_0_3', 'ESCOLAS_CRECHE_POR_1000_CRIAN', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'PIB_PC', 'LOG_PIB_PC', 'TAXA_OCUP_FEM', 'TAXA_OCUP_MASC', 'PROP_MAES_JOVENS', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_PROP_POBREZA_CRIANCAS', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.339284605485635,0.00947703971735686,0.09698624915966403,0.052805153766631203,
53,Lasso,11,"['PROP_ESC_URBANA', 'PROP_MAT_BRANCA', 'PROP_MAT_PRETA', 'COBERTURA_CRECHE_0_3', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'TAXA_OCUP_MASC', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.339297569116653,0.008387252949130003,0.0968758612658491,0.05100922544849753,0.011721022975334805
38,RFS_forward,17,"['PROP_ESC_URBANA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'COBERTURA_CRECHE_0_3', 'ESCOLAS_CRECHE_POR_1000_CRIAN', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'PIB_PC', 'TAXA_OCUP_FEM', 'TAXA_OCUP_MASC', 'PROP_MAES_JOVENS', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.33935641281072054,0.009325965273583826,0.096657740321016,0.05142226635925428,
17,RFE,18,"['PROP_ESC_URBANA', 'PROP_MAT_BRANCA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'PROP_MAT_INDIGENA', 'COBERTURA_CRECHE_0_3', 'ESCOLAS_CRECHE_POR_1000_CRIAN', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'PIB_PC', 'TAXA_OCUP_FEM', 'TAXA_OCUP_MASC', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.3393671536848026,0.009866130048874136,0.09650835672597372,0.054445428866156775,
18,RFE,19,"['PROP_ESC_URBANA', 'PROP_MAT_BRANCA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'PROP_MAT_INDIGENA', 'COBERTURA_CRECHE_0_3', 'ESCOLAS_CRECHE_POR_1000_CRIAN', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'PIB_PC', 'TAXA_OCUP_FEM', 'TAXA_OCUP_MASC', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_PROP_POBREZA_CRIANCAS', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.3394295563827644,0.009546160460842864,0.09619027921740275,0.053403736320410074,
47,Lasso,21,"['PROP_ESC_PUBLICA', 'PROP_ESC_URBANA', 'PROP_MAT_BRANCA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'COBERTURA_CRECHE_0_3', 'ESCOLAS_CRECHE_POR_1000_CRIAN', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'PIB_PC', 'LOG_PIB_PC', 'TAXA_OCUP_FEM', 'TAXA_OCUP_MASC', 'PROP_MAES_JOVENS', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_PROP_POBREZA_CRIANCAS', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.33943151207099537,0.009732769594968216,0.09618666929948219,0.05379590056276627,0.0006723357536499335
46,Lasso,21,"['PROP_ESC_PUBLICA', 'PROP_ESC_URBANA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'PROP_MAT_INDIGENA', 'COBERTURA_CRECHE_0_3', 'ESCOLAS_CRECHE_POR_1000_CRIAN', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'PIB_PC', 'LOG_PIB_PC', 'TAXA_OCUP_FEM', 'TAXA_OCUP_MASC', 'PROP_MAES_JOVENS', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_PROP_POBREZA_CRIANCAS', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.3394446118059834,0.009759128273876743,0.09611398950370709,0.053913599490607575,0.00041753189365604
48,Lasso,19,"['PROP_ESC_URBANA', 'PROP_MAT_BRANCA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'COBERTURA_CRECHE_0_3', 'ESCOLAS_CRECHE_POR_1000_CRIAN', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'PIB_PC', 'LOG_PIB_PC', 'TAXA_OCUP_FEM', 'TAXA_OCUP_MASC', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_PROP_POBREZA_CRIANCAS', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.33946871748193297,0.009596195725112413,0.095986380076193,0.053484807753079455,0.001082636733874054
19,RFE,20,"['PROP_ESC_PUBLICA', 'PROP_ESC_URBANA', 'PROP_MAT_BRANCA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'PROP_MAT_INDIGENA', 'COBERTURA_CRECHE_0_3', 'ESCOLAS_CRECHE_POR_1000_CRIAN', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'PIB_PC', 'TAXA_OCUP_FEM', 'TAXA_OCUP_MASC', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_PROP_POBREZA_CRIANCAS', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.3394738550643063,0.00965079963561946,0.09596336232013074,0.0535437984473132,
21,RFE,22,"['PROP_ESC_PUBLICA', 'PROP_ESC_URBANA', 'PROP_MAT_BRANCA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'PROP_MAT_INDIGENA', 'COBERTURA_CRECHE_0_3', 'ESCOLAS_CRECHE_POR_1000_CRIAN', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'PIB_PC', 'LOG_PIB_PC', 'TAXA_OCUP_FEM', 'TAXA_OCUP_MASC', 'PROP_MAES_JOVENS', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_PROP_POBREZA_CRIANCAS', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.33949492945568044,0.009625751826606063,0.09585363667703913,0.05342859933923253,
44,Lasso,22,"['PROP_ESC_PUBLICA', 'PROP_ESC_URBANA', 'PROP_MAT_BRANCA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'PROP_MAT_INDIGENA', 'COBERTURA_CRECHE_0_3', 'ESCOLAS_CRECHE_POR_1000_CRIAN', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'PIB_PC', 'LOG_PIB_PC', 'TAXA_OCUP_FEM', 'TAXA_OCUP_MASC', 'PROP_MAES_JOVENS', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_PROP_POBREZA_CRIANCAS', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.33949646589341465,0.009628084731282871,0.09584535116602388,0.053436453898688334,0.00016102620275609394
43,Lasso,22,"['PROP_ESC_PUBLICA', 'PROP_ESC_URBANA', 'PROP_MAT_BRANCA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'PROP_MAT_INDIGENA', 'COBERTURA_CRECHE_0_3', 'ESCOLAS_CRECHE_POR_1000_CRIAN', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'PIB_PC', 'LOG_PIB_PC', 'TAXA_OCUP_FEM', 'TAXA_OCUP_MASC', 'PROP_MAES_JOVENS', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_PROP_POBREZA_CRIANCAS', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.3394986972899772,0.009622878444677763,0.09583424738560405,0.05341051581034913,0.0001
20,RFE,21,"['PROP_ESC_PUBLICA', 'PROP_ESC_URBANA', 'PROP_MAT_BRANCA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'PROP_MAT_INDIGENA', 'COBERTURA_CRECHE_0_3', 'ESCOLAS_CRECHE_POR_1000_CRIAN', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'PIB_PC', 'TAXA_OCUP_FEM', 'TAXA_OCUP_MASC', 'PROP_MAES_JOVENS', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_PROP_POBREZA_CRIANCAS', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.3395043897838345,0.009609273293334714,0.09580104490151686,0.05342159610345434,
45,Lasso,21,"['PROP_ESC_PUBLICA', 'PROP_ESC_URBANA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'PROP_MAT_INDIGENA', 'COBERTURA_CRECHE_0_3', 'ESCOLAS_CRECHE_POR_1000_CRIAN', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'PIB_PC', 'LOG_PIB_PC', 'TAXA_OCUP_FEM', 'TAXA_OCUP_MASC', 'PROP_MAES_JOVENS', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_PROP_POBREZA_CRIANCAS', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.33951133089099106,0.009637083173342739,0.09576439901022307,0.05349570460966198,0.0002592943797404667
49,Lasso,17,"['PROP_ESC_URBANA', 'PROP_MAT_BRANCA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'COBERTURA_CRECHE_0_3', 'ESCOLAS_CRECHE_POR_1000_CRIAN', 'LOG_POP_TOTAL', 'PIB_PC', 'LOG_PIB_PC', 'TAXA_OCUP_FEM', 'TAXA_OCUP_MASC', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.3395209837322255,0.009563051530666628,0.0957146978578095,0.05329958780450438,0.0017433288221999873
30,RFS_forward,9,"['PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'COBERTURA_CRECHE_0_3', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'TAXA_OCUP_MASC', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.33952952324562763,0.008322361497696813,0.095670056206697,0.05030386664193764,
55,Lasso,7,"['PROP_MAT_PRETA', 'COBERTURA_CRECHE_0_3', 'MEDIA_MAT_0_3_POR_ESCOLA', 'TAXA_OCUP_MASC', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.33953919650467207,0.0072931244598167895,0.09601786065004263,0.03936544490598684,0.03039195382313198
39,RFS_forward,18,"['PROP_ESC_URBANA', 'PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'COBERTURA_CRECHE_0_3', 'ESCOLAS_CRECHE_POR_1000_CRIAN', 'MEDIA_MAT_0_3_POR_ESCOLA', 'LOG_POP_TOTAL', 'PIB_PC', 'TAXA_OCUP_FEM', 'TAXA_OCUP_MASC', 'PROP_MAES_JOVENS', 'PROP_DOM_SEM_CONJUGE_MULHER', 'PERC_RENDA_OUTRAS_FONTES', 'RENDA_MEDIANA_RESPONSAVEL', 'IDH_PROP_POBREZA_CRIANCAS', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.33957267582394907,0.009056643547127825,0.0955982750890921,0.04912976123869991,
29,RFS_forward,8,"['PROP_MAT_PRETA', 'PROP_MAT_PARDA', 'COBERTURA_CRECHE_0_3', 'MEDIA_MAT_0_3_POR_ESCOLA', 'TAXA_OCUP_MASC', 'IDH_GINI', 'IDH_EXPECT_ANOS_ESTUDO', 'IDH_RAZAO_DEPENDENCIA']",0.3398617050241704,0.0071783573961037885,0.09400780521784477,0.045639390720547776,
