NU_ANO_CENSO;CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;TAXA_CRE_INT;PROP_ESC_PUBLICA;PROP_ESC_URBANA;PROP_MAT_BRANCA;PROP_MAT_PRETA;PROP_MAT_PARDA;PROP_MAT_INDIGENA;COBERTURA_CRECHE_0_3;ESCOLAS_CRECHE_POR_1000_CRIAN;MEDIA_MAT_0_3_POR_ESCOLA;LOG_POP_TOTAL;PIB_PC;LOG_PIB_PC;TAXA_OCUP_FEM;TAXA_OCUP_MASC;PROP_MAES_JOVENS;PROP_DOM_SEM_CONJUGE_MULHER;PERC_RENDA_OUTRAS_FONTES;RENDA_MEDIANA_RESPONSAVEL;IDH_PROP_POBREZA_CRIANCAS;IDH_GINI;IDH_EXPECT_ANOS_ESTUDO;IDH_RAZAO_DEPENDENCIA
2022;2208858;Riacho Frio;PI;1.0;1.0;0.384615;0.058722;0.074266;0.811744;0.003454;0.207547;49.056604;4;8.334712;11631.93;9.361595;0.240448;0.361111;0.017212;0.119195;58.34;1200.0;71.9;0.6;7.71;60.95
2022;2208874;Ribeira do Piauí;PI;0.0;1.0;0.285714;0.073423;0.069286;0.82213;0.002068;0.356618;51.470588;7;8.307953;57693.22;10.962912;0.262264;0.393462;0.016273;0.09957;56.05;1200.0;71.55;0.58;8.65;57.36
2022;2208908;Ribeiro Gonçalves;PI;1.0;1.0;0.454545;0.061202;0.011791;0.915216;0.0;0.369767;25.581395;14;8.726643;143899.09;11.876875;0.285472;0.491863;0.019631;0.120514;34.5;1212.0;56.12;0.57;8.18;62.86
2022;2209005;Rio Grande do Piauí;PI;0.958904;0.888889;0.666667;0.126701;0.064626;0.804422;0.0;0.41358;27.777778;15;8.665958;10441.13;9.253604;0.237858;0.319194;0.023659;0.119565;64.45;1206.0;62.14;0.54;7.94;57.81
2022;2209104;Santa Cruz do Piauí;PI;0.028369;0.833333;0.75;0.158083;0.060801;0.775393;0.001431;0.396825;38.095238;10;8.671115;11354.31;9.337441;0.293926;0.468868;0.016949;0.146329;48.63;1212.0;43.17;0.49;9.56;52.54
2022;2209153;Santa Cruz dos Milagres;PI;0.0;1.0;0.428571;0.129496;0.028777;0.823022;0.007194;0.438503;37.433155;12;8.142063;13648.91;9.521488;0.213428;0.300507;0.009337;0.141406;56.2;1212.0;56.14;0.44;9.03;57.75
2022;2209203;Santa Filomena;PI;0.0;1.0;0.421053;0.105324;0.011574;0.875;0.005787;0.261954;39.50104;7;8.714075;139641.37;11.84684;0.28932;0.442596;0.029412;0.138119;39.42;1200.0;66.12;0.59;6.72;67.2
2022;2209302;Santa Luz;PI;1.0;1.0;0.4;0.111765;0.026891;0.857983;0.0;0.316076;27.247956;12;8.582419;13802.47;9.532676;0.243584;0.375576;0.024328;0.117784;53.86;1212.0;64.35;0.51;8.87;59.98
2022;2209351;Santana do Piauí;PI;0.0;1.0;0.357143;0.379888;0.011173;0.606145;0.001397;0.381643;67.63285;6;8.325064;10753.94;9.28312;0.336944;0.499709;0.009259;0.107066;53.88;1212.0;58.45;0.47;8.93;52.13
2022;2209377;Santa Rosa do Piauí;PI;1.0;1.0;0.411765;0.12609;0.063442;0.810468;0.0;0.291667;64.393939;5;8.444838;11659.57;9.363968;0.269467;0.36262;0.016118;0.13357;56.91;1212.0;66.34;0.52;10.22;57.9
