number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_k_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_rmse_cv_std,state
35,0.31627000487672907,2026-06-20 01:05:25.605656,2026-06-20 01:05:26.697040,0 days 00:00:01.091384,0.6152697896440867,73,0.04790393707116788,2,0.04991509167078904,311,0.0010668118903290299,0.0003942682543044396,0.7681549416846005,0.008149557988302136,COMPLETE
36,0.313869796983621,2026-06-20 01:05:26.697168,2026-06-20 01:05:28.835937,0 days 00:00:02.138769,0.6925518927068723,52,0.01613988146242147,4,0.4007034299568093,413,1.9753709324657611,1.7330349625265088e-05,0.8987093534388799,0.009467907158360274,COMPLETE
37,0.3222929282475149,2026-06-20 01:05:28.836079,2026-06-20 01:05:29.781069,0 days 00:00:00.944990,0.7569077566622613,57,0.008143532434738563,3,0.18809469914666213,166,2.352089890507219,0.03756670457323923,0.8673960957251612,0.009281208362436101,COMPLETE
38,0.31560430394521444,2026-06-20 01:05:29.781206,2026-06-20 01:05:33.752670,0 days 00:00:03.971464,0.6523763742668665,95,0.011572168667513006,6,0.025651844048411854,480,0.014330723257284102,0.00020317497834841192,0.8051846140252189,0.009173656739571432,COMPLETE
39,0.3155685546794767,2026-06-20 01:05:33.752817,2026-06-20 01:05:35.178677,0 days 00:00:01.425860,0.8045499069171361,65,0.037515211573756736,3,1.535580311306651,259,5.7256492889428845e-05,4.600676187087926e-05,0.8563917706400475,0.008914822270420017,COMPLETE
40,0.31723159410430063,2026-06-20 01:05:35.178822,2026-06-20 01:05:37.456087,0 days 00:00:02.277265,0.9379915600547366,59,0.029598274035510207,4,5.0028004443799565,365,7.009191933296567e-07,0.14713724652548757,0.6972000736878815,0.009923195972575204,COMPLETE
41,0.3128320964690097,2026-06-20 01:05:37.456235,2026-06-20 01:05:39.031117,0 days 00:00:01.574882,0.6793952986748628,72,0.017415842131865863,3,0.1953808275529401,300,0.16627340511671845,0.003807434435405263,0.8379547472632226,0.008922182280881643,COMPLETE
42,0.31396208178586654,2026-06-20 01:05:39.031271,2026-06-20 01:05:40.400610,0 days 00:00:01.369339,0.9970630457921188,79,0.014563520092074818,2,0.1413603889514006,341,0.05521593218408851,0.0056524462621466215,0.8318934556400321,0.008802543602854224,COMPLETE
43,0.3142148189304046,2026-06-20 01:05:40.400751,2026-06-20 01:05:42.525781,0 days 00:00:02.125030,0.704375010543282,68,0.019755229475260854,3,0.08493440779759276,458,1.194659057889505e-05,0.0013026069707343915,0.8552622794840028,0.008640816076559747,COMPLETE
44,0.3155346059238586,2026-06-20 01:05:42.525921,2026-06-20 01:05:44.953927,0 days 00:00:02.428006,0.6694843994258031,86,0.02474800095596283,4,0.2748559303763574,403,4.008658330869114,0.013127452842009632,0.7422378240444235,0.011714952506053146,COMPLETE
45,0.31407430819475807,2026-06-20 01:05:44.954074,2026-06-20 01:05:46.284440,0 days 00:00:01.330366,0.7429496166536308,94,0.014231304240886259,2,0.040046914662048246,332,0.5486707548715877,2.8640980065067434,0.8784470789641377,0.009253218318837162,COMPLETE
46,0.31257412031305015,2026-06-20 01:05:46.284581,2026-06-20 01:05:48.699466,0 days 00:00:02.414885,0.6001549843654187,78,0.009542273595775598,3,0.7964251374119854,549,0.00028191516153562964,0.010618766447508594,0.7802908933233361,0.009357000667695441,COMPLETE
47,0.312621272401759,2026-06-20 01:05:48.699606,2026-06-20 01:05:51.820970,0 days 00:00:03.121364,0.6041276324557188,99,0.00952264014780886,4,0.9063071532640301,555,0.00032471194805723183,0.19499417470134775,0.7762304865016805,0.010246036144801228,COMPLETE
48,0.3130931057944936,2026-06-20 01:05:51.821118,2026-06-20 01:05:56.840215,0 days 00:00:05.019097,0.6010589014199086,100,0.005189269039959845,5,0.9039445632748596,723,0.0004020662400389177,0.41129623359860973,0.7377261159076584,0.01012714111691777,COMPLETE
49,0.312937943877579,2026-06-20 01:05:56.840370,2026-06-20 01:06:00.583325,0 days 00:00:03.742955,0.6238628073752092,87,0.006522576415751293,4,2.411655136349478,682,8.14075959951746e-06,5.718756026692167,0.6979244986724721,0.010231054466371561,COMPLETE
50,0.31362821392549234,2026-06-20 01:06:00.583468,2026-06-20 01:06:04.631784,0 days 00:00:04.048316,0.6429711955832574,97,0.0096003640390419,5,0.5237770747881192,560,0.0003700220476436725,0.1442418973459021,0.7836185512023179,0.010828356427616087,COMPLETE
51,0.31272196801459523,2026-06-20 01:06:04.631932,2026-06-20 01:06:07.013699,0 days 00:00:02.381767,0.6151204615170582,80,0.008919883084368021,3,1.245405000753932,531,5.8484169809753096e-05,0.009245958608756863,0.7706171513908036,0.009659745865231722,COMPLETE
52,0.3137263711226952,2026-06-20 01:06:07.013849,2026-06-20 01:06:11.291387,0 days 00:00:04.277538,0.6006930073495356,92,0.011039018348127257,4,1.8220136253879715,798,0.0001412754564471611,0.001395183497098117,0.8068451740476981,0.010012051072953264,COMPLETE
53,0.3125044340518824,2026-06-20 01:06:11.291536,2026-06-20 01:06:14.092923,0 days 00:00:02.801387,0.6354783392382215,75,0.006589640165249452,3,3.5328966603886856,648,6.9849955078617975e-06,0.02510404759875875,0.773402122671019,0.00928545458405349,COMPLETE
54,0.31421113827590025,2026-06-20 01:06:14.093074,2026-06-20 01:06:16.212464,0 days 00:00:02.119390,0.6324298238648923,77,0.007006452984290759,2,3.541197665204293,652,5.929704555559433e-06,0.0178779429652678,0.7751912402577352,0.009086540523572138,COMPLETE
55,0.3125253860149607,2026-06-20 01:06:16.212615,2026-06-20 01:06:20.539352,0 days 00:00:04.326737,0.6509193724490195,83,0.006302340658810928,4,2.8590237114802277,799,1.1474188665410146e-06,0.060778424215264436,0.7957142680709972,0.00983220418997019,COMPLETE
56,0.3166658177754735,2026-06-20 01:06:20.539503,2026-06-20 01:06:31.024991,0 days 00:00:10.485488,0.6568965969482224,81,0.005866885520029927,8,6.647183644415274,994,9.759874393930833e-07,0.09334118501567559,0.7262245862951443,0.009451225286318025,COMPLETE
57,0.31241674633946037,2026-06-20 01:06:31.025142,2026-06-20 01:06:34.491483,0 days 00:00:03.466341,0.6427645268879973,75,0.00802305063477946,3,11.146466267973706,850,1.4510977387311508e-07,0.05543678434624356,0.7970957448532022,0.009201178933989395,COMPLETE
58,0.3132454232644116,2026-06-20 01:06:34.491631,2026-06-20 01:06:37.298355,0 days 00:00:02.806724,0.6458118862859882,74,0.00778849323344237,2,3.1427692189421994,917,1.0325393790312329e-07,0.7785223797789408,0.8057926293594145,0.00877243541707747,COMPLETE
59,0.31273643075347674,2026-06-20 01:06:37.298500,2026-06-20 01:06:40.761426,0 days 00:00:03.462926,0.6259692806277887,66,0.0059429181281325915,3,10.918591437519584,837,5.660832335101004e-07,0.043787998365459546,0.7931352398719523,0.009222832959124202,COMPLETE
60,0.31509223717693763,2026-06-20 01:06:40.761574,2026-06-20 01:06:46.707112,0 days 00:00:05.945538,0.6616136200133889,83,0.008450289395353439,5,11.263483359982438,935,3.980876565695024e-08,0.30781131941601864,0.7578204307949806,0.009295664795974538,COMPLETE
61,0.31228092817362135,2026-06-20 01:06:46.707259,2026-06-20 01:06:49.936380,0 days 00:00:03.229121,0.6144831749656007,77,0.007072653768751136,3,4.56491915075158,774,2.9462176183951427e-07,0.053290920674793865,0.8187097624122363,0.00918250938016664,COMPLETE
62,0.31247138382129364,2026-06-20 01:06:49.936531,2026-06-20 01:06:53.165525,0 days 00:00:03.228994,0.6421757078561517,76,0.007440661427180179,3,4.672295264392986,764,3.4968169833139996e-07,0.023403239201318725,0.8156317961385572,0.009271538421311117,COMPLETE
63,0.3159793541939787,2026-06-20 01:06:53.165666,2026-06-20 01:07:03.720024,0 days 00:00:10.554358,0.6397026339454134,75,0.007248651685513884,10,4.869864752650699,773,2.7312980920251865e-07,0.06922078927341857,0.8164596218418037,0.01006908628390881,COMPLETE
64,0.31204743425396375,2026-06-20 01:07:03.720176,2026-06-20 01:07:07.038218,0 days 00:00:03.318042,0.6153944209414337,78,0.0055610243569467,4,8.817844033645818,720,2.0294552880769786e-06,0.022863449302850412,0.793685585584662,0.00986608156954449,COMPLETE
65,0.3120518476450938,2026-06-20 01:07:07.038355,2026-06-20 01:07:10.337410,0 days 00:00:03.299055,0.6156584409171232,71,0.005939761327339918,4,7.33830367015225,714,1.7963516534162315e-06,0.024316648521242865,0.793372696110826,0.009602597083993544,COMPLETE
