number,value,datetime_start,datetime_complete,duration,params_activation,params_alpha,params_batch_size,params_hidden_layer_sizes,params_k_features,params_learning_rate_init,user_attrs_rmse_cv_std,state
50,0.3314279411455027,2026-06-20 01:12:46.966103,2026-06-20 01:12:47.788560,0 days 00:00:00.822457,tanh,0.00748113943400959,64,"(64, 32)",44,0.0010887152626190095,0.012025366556671559,COMPLETE
51,0.3194539977861991,2026-06-20 01:12:47.788694,2026-06-20 01:12:48.820691,0 days 00:00:01.031997,tanh,0.0031126411133508658,64,"(128,)",38,0.0002660253866997777,0.009014624678577655,COMPLETE
52,0.31934256987747994,2026-06-20 01:12:48.820830,2026-06-20 01:12:49.802278,0 days 00:00:00.981448,tanh,0.00259560988179308,64,"(128,)",40,0.0002750112309066689,0.008989180023913362,COMPLETE
53,0.3194316884021434,2026-06-20 01:12:49.802408,2026-06-20 01:12:50.640978,0 days 00:00:00.838570,tanh,0.0024602204017465947,64,"(128,)",39,0.00028474911333752897,0.009296646540998182,COMPLETE
54,0.3193982888955335,2026-06-20 01:12:50.641095,2026-06-20 01:12:51.492025,0 days 00:00:00.850930,tanh,0.002724527579958856,64,"(128,)",41,0.0002889419814248073,0.00929682537366566,COMPLETE
55,0.323570324155088,2026-06-20 01:12:51.492141,2026-06-20 01:12:52.202053,0 days 00:00:00.709912,tanh,0.0021543691712207105,64,"(128,)",40,0.0004780657788255235,0.008755546033697676,COMPLETE
56,0.3193389402655224,2026-06-20 01:12:52.202176,2026-06-20 01:12:53.039804,0 days 00:00:00.837628,tanh,0.0035149634670528086,64,"(128,)",33,0.00029814019560489953,0.009298771653602761,COMPLETE
57,0.3309974744067498,2026-06-20 01:12:53.039914,2026-06-20 01:12:53.833169,0 days 00:00:00.793255,tanh,0.002957388519819219,64,"(64,)",31,0.0003599083420265471,0.008902999374504292,COMPLETE
58,0.32208996598279804,2026-06-20 01:12:53.833294,2026-06-20 01:12:54.832773,0 days 00:00:00.999479,tanh,0.006222197821419051,64,"(128,)",47,0.000174581357605287,0.008289145930683726,COMPLETE
59,0.34731296614382773,2026-06-20 01:12:54.832882,2026-06-20 01:12:55.913045,0 days 00:00:01.080163,relu,0.0016414599866121226,64,"(32,)",22,0.00030630315933931145,0.012677039397003083,COMPLETE
60,0.3398477324966212,2026-06-20 01:12:55.913151,2026-06-20 01:12:57.354902,0 days 00:00:01.441751,tanh,0.004592505316877458,16,"(128, 64)",28,0.0006611851669856481,0.012615364405393069,COMPLETE
61,0.3194057914966011,2026-06-20 01:12:57.355020,2026-06-20 01:12:58.192575,0 days 00:00:00.837555,tanh,0.003523982288385623,64,"(128,)",41,0.00028498595867011657,0.009305013678441823,COMPLETE
62,0.31917143066050635,2026-06-20 01:12:58.192694,2026-06-20 01:12:59.030520,0 days 00:00:00.837826,tanh,0.00962010924670311,64,"(128,)",33,0.0003099844526146426,0.009341984269132754,COMPLETE
63,0.3235364060498941,2026-06-20 01:12:59.030636,2026-06-20 01:12:59.724030,0 days 00:00:00.693394,tanh,0.009148155547356674,64,"(128,)",33,0.00047214142314671095,0.008732820543120813,COMPLETE
64,0.3194327088444561,2026-06-20 01:12:59.724142,2026-06-20 01:13:00.541913,0 days 00:00:00.817771,tanh,0.0009204140589733087,64,"(128,)",43,0.00035206583283063994,0.009061966836377677,COMPLETE
65,0.3193129077976115,2026-06-20 01:13:00.542039,2026-06-20 01:13:01.377663,0 days 00:00:00.835624,tanh,0.004802607973585827,64,"(128,)",48,0.0002966967337682516,0.009309944220311733,COMPLETE
66,0.3337612922146813,2026-06-20 01:13:01.377778,2026-06-20 01:13:02.568604,0 days 00:00:01.190826,tanh,0.004800457205428483,64,"(64, 32)",48,0.00017494732713056065,0.011649385639725968,COMPLETE
67,0.32922999826261623,2026-06-20 01:13:02.568723,2026-06-20 01:13:03.367474,0 days 00:00:00.798751,tanh,0.006152958857809704,128,"(128,)",30,0.0003056649102928407,0.009814472397947447,COMPLETE
68,0.33031393101762946,2026-06-20 01:13:03.367586,2026-06-20 01:13:04.374287,0 days 00:00:01.006701,tanh,0.0015866610806065339,64,"(128,)",16,0.00013447668323912448,0.010280403782146213,COMPLETE
69,0.3226936529727858,2026-06-20 01:13:04.374404,2026-06-20 01:13:05.621753,0 days 00:00:01.247349,tanh,0.009873001668915669,16,"(128,)",24,0.0004038893704482643,0.009519586181076178,COMPLETE
70,0.360386923153983,2026-06-20 01:13:05.621878,2026-06-20 01:13:06.787564,0 days 00:00:01.165686,relu,0.0037160781112769293,64,"(64,)",57,0.000190412567862698,0.01487606301402671,COMPLETE
71,0.31939494009652997,2026-06-20 01:13:06.787689,2026-06-20 01:13:07.624667,0 days 00:00:00.836978,tanh,0.0024562407863112194,64,"(128,)",41,0.0002906851115255353,0.009293827295469414,COMPLETE
72,0.3233815293767826,2026-06-20 01:13:07.624786,2026-06-20 01:13:08.343275,0 days 00:00:00.718489,tanh,0.001717623651293777,64,"(128,)",42,0.002062996895936934,0.009675353171662853,COMPLETE
73,0.3193835181106905,2026-06-20 01:13:08.343391,2026-06-20 01:13:09.181918,0 days 00:00:00.838527,tanh,0.0011767798059317892,64,"(128,)",48,0.00031080189270359717,0.009271970866552208,COMPLETE
74,0.31941578530521497,2026-06-20 01:13:09.182037,2026-06-20 01:13:10.019051,0 days 00:00:00.837014,tanh,0.0007050977499142481,64,"(128,)",45,0.00032081825156304546,0.009261549811966497,COMPLETE
75,0.31936681169263564,2026-06-20 01:13:10.019163,2026-06-20 01:13:10.795655,0 days 00:00:00.776492,tanh,0.001174931528680696,64,"(128,)",48,0.00036756987634262216,0.009223884464815724,COMPLETE
76,0.351702772843567,2026-06-20 01:13:10.795767,2026-06-20 01:13:11.687294,0 days 00:00:00.891527,tanh,0.0013670858606285284,64,"(128, 64, 32)",36,0.009987329607669073,0.00340096486968854,COMPLETE
77,0.3219108795695437,2026-06-20 01:13:11.687414,2026-06-20 01:13:12.381824,0 days 00:00:00.694410,tanh,0.00041512301905619726,128,"(128,)",48,0.00046357364965873827,0.009634213722437132,COMPLETE
