number,value,datetime_start,datetime_complete,duration,params_depth,params_iterations,params_k_features,params_l2_leaf_reg,params_learning_rate,params_random_strength,user_attrs_rmse_cv_std,state
10,0.31184618553787813,2026-06-20 00:36:54.097295,2026-06-20 00:37:00.778052,0 days 00:00:06.680757,7,681,99,0.023442986572256207,0.005086662904455661,0.0010433809686054556,0.010460898458020899,COMPLETE
11,0.31200561244702857,2026-06-20 00:37:00.778207,2026-06-20 00:37:07.182969,0 days 00:00:06.404762,7,631,100,0.018198971136773438,0.005134424374944224,0.0010854984892571472,0.0102948074152543,COMPLETE
12,0.3117833836925249,2026-06-20 00:37:07.183139,2026-06-20 00:37:13.727010,0 days 00:00:06.543871,7,618,98,0.023628554639513688,0.008452374333604459,0.0010089133705043268,0.009996645258192877,COMPLETE
13,0.31203892713616355,2026-06-20 00:37:13.727202,2026-06-20 00:37:18.078617,0 days 00:00:04.351415,6,619,80,0.03531451538592573,0.009676526313291637,0.001364175250818978,0.010766494381666462,COMPLETE
14,0.311586403317007,2026-06-20 00:37:18.078803,2026-06-20 00:37:25.187250,0 days 00:00:07.108447,7,624,86,0.13476993352675407,0.009616847302401654,0.0044564472438340125,0.009381443936875811,COMPLETE
15,0.31233635680292704,2026-06-20 00:37:25.187471,2026-06-20 00:37:31.295953,0 days 00:00:06.108482,7,537,59,0.13032703948961932,0.009727476162721769,0.003813426423309412,0.009252937435729854,COMPLETE
16,0.3136829628228136,2026-06-20 00:37:31.296173,2026-06-20 00:37:33.735265,0 days 00:00:02.439092,3,971,84,0.4035051464270515,0.01280056601910282,0.005356645029838211,0.010130063212774616,COMPLETE
17,0.31609160380170687,2026-06-20 00:37:33.735440,2026-06-20 00:37:38.660737,0 days 00:00:04.925297,6,721,57,0.4659858268246465,0.028142835038593016,0.005940536749493486,0.010073959428401676,COMPLETE
18,0.3129859041240949,2026-06-20 00:37:38.660949,2026-06-20 00:37:42.775544,0 days 00:00:04.114595,6,552,75,13.302046057133335,0.007763112770416067,0.003217885861761723,0.01002492789808073,COMPLETE
19,0.3140726783231116,2026-06-20 00:37:42.775795,2026-06-20 00:37:44.376451,0 days 00:00:01.600656,4,329,89,0.00839503773156338,0.0131148660199283,0.009416056966667564,0.010168200056093465,COMPLETE
20,0.31448840025335106,2026-06-20 00:37:44.376623,2026-06-20 00:37:56.412610,0 days 00:00:12.035987,8,539,52,0.06566049769242768,0.027067389982734887,0.5813985841691262,0.00708885164983374,COMPLETE
21,0.3117067312742289,2026-06-20 00:37:56.412944,2026-06-20 00:38:05.579570,0 days 00:00:09.166626,7,691,94,0.020520616566054646,0.007716052969008191,0.0019698089554517017,0.009613458498139216,COMPLETE
22,0.3123113384344398,2026-06-20 00:38:05.579857,2026-06-20 00:38:14.167104,0 days 00:00:08.587247,7,662,91,0.008930480622673273,0.007647792618561466,0.0028112260085830397,0.010224630246442297,COMPLETE
23,0.31215313000444234,2026-06-20 00:38:14.167357,2026-06-20 00:38:19.688738,0 days 00:00:05.521381,6,744,77,0.050755202158296514,0.009331210701757393,0.0023164216122021236,0.010090365132563955,COMPLETE
24,0.31381275132959735,2026-06-20 00:38:19.688961,2026-06-20 00:38:33.103329,0 days 00:00:13.414368,8,611,92,0.14213469065032308,0.01463845095461615,0.009911446208225021,0.009770215527125802,COMPLETE
25,0.311870309517755,2026-06-20 00:38:33.103598,2026-06-20 00:38:39.102351,0 days 00:00:05.998753,7,496,84,0.017866791377514304,0.00800619464655609,0.0017829468529561166,0.010202076956180483,COMPLETE
26,0.31448161129333146,2026-06-20 00:38:39.102610,2026-06-20 00:39:27.856039,0 days 00:00:48.753429,10,708,68,0.26420255884461724,0.006512175168383788,0.007254493556681623,0.010070997602901673,COMPLETE
27,0.31235898308512267,2026-06-20 00:39:27.856305,2026-06-20 00:39:32.061033,0 days 00:00:04.204728,6,583,94,0.003044416086826329,0.011803684566571188,0.018957812305417477,0.010351775262226191,COMPLETE
28,0.3248139068504338,2026-06-20 00:39:32.061222,2026-06-20 00:39:39.947586,0 days 00:00:07.886364,8,429,80,1.1791128022743766,0.14797798078364474,0.002078473458685566,0.008449454662213269,COMPLETE
29,0.31362847749340383,2026-06-20 00:39:39.947807,2026-06-20 00:39:46.681787,0 days 00:00:06.733980,8,365,99,0.09798025619389525,0.017629248515378032,0.004052093755067852,0.009227504042206914,COMPLETE
30,0.31189089837571327,2026-06-20 00:39:46.682002,2026-06-20 00:39:54.763245,0 days 00:00:08.081243,7,816,88,0.033197557875012336,0.006515982776383231,0.012221559032475359,0.010088873114582012,COMPLETE
