instance_rank,original_index,counterfactual_id,original_prediction,counterfactual_prediction,desired_low,desired_high,original__SG_UF,counterfactual__SG_UF,original__PROP_ESC_PUBLICA,counterfactual__PROP_ESC_PUBLICA,original__PROP_ESC_URBANA,counterfactual__PROP_ESC_URBANA,original__PROP_MAT_BRANCA,counterfactual__PROP_MAT_BRANCA,original__PROP_MAT_PRETA,counterfactual__PROP_MAT_PRETA,original__PROP_MAT_PARDA,counterfactual__PROP_MAT_PARDA,original__PROP_MAT_INDIGENA,counterfactual__PROP_MAT_INDIGENA,original__COBERTURA_CRECHE_0_3,counterfactual__COBERTURA_CRECHE_0_3,original__ESCOLAS_CRECHE_POR_1000_CRIAN,counterfactual__ESCOLAS_CRECHE_POR_1000_CRIAN,original__MEDIA_MAT_0_3_POR_ESCOLA,counterfactual__MEDIA_MAT_0_3_POR_ESCOLA,original__LOG_POP_TOTAL,counterfactual__LOG_POP_TOTAL,original__PIB_PC,counterfactual__PIB_PC,original__LOG_PIB_PC,counterfactual__LOG_PIB_PC,original__TAXA_OCUP_FEM,counterfactual__TAXA_OCUP_FEM,original__TAXA_OCUP_MASC,counterfactual__TAXA_OCUP_MASC,original__PROP_MAES_JOVENS,counterfactual__PROP_MAES_JOVENS,original__PROP_DOM_SEM_CONJUGE_MULHER,counterfactual__PROP_DOM_SEM_CONJUGE_MULHER,original__PERC_RENDA_OUTRAS_FONTES,counterfactual__PERC_RENDA_OUTRAS_FONTES,original__RENDA_MEDIANA_RESPONSAVEL,counterfactual__RENDA_MEDIANA_RESPONSAVEL,original__IDH_PROP_POBREZA_CRIANCAS,counterfactual__IDH_PROP_POBREZA_CRIANCAS,original__IDH_GINI,counterfactual__IDH_GINI,original__IDH_EXPECT_ANOS_ESTUDO,counterfactual__IDH_EXPECT_ANOS_ESTUDO,original__IDH_RAZAO_DEPENDENCIA,counterfactual__IDH_RAZAO_DEPENDENCIA
7,156,3,0.7109376192092896,0.5974730253219604,0.0,0.6215966627561244,AL,AL,1.0,1.0,0.4,0.4,0.247951,0.247951,0.040984,0.040984,0.704918,0.956492,0.006148,0.006148,0.521858,0.521858,27.322404,27.322404,19,19,8.665096,8.316895,15157.52,15157.52,9.626318,9.626318,0.207835,0.207835,0.398551,0.398551,0.01312,0.01312,0.131171,0.131171,59.07,59.07,1212.0,1212.0,62.09,62.09,0.5,0.5,9.29,9.29,56.89,56.89
8,216,1,0.7322343587875366,0.20789025723934174,0.0,0.6428934023343714,BA,RN,0.942857,0.942857,0.314286,0.314286,0.077085,0.077085,0.054339,0.054339,0.865628,0.865628,0.001264,0.001264,0.51166,0.51166,48.010974,48.010974,11,11,9.289244,9.289244,13362.85,13362.85,9.500308,9.500308,0.285199,0.285199,0.492325,0.492325,0.040118,0.040118,0.134034,0.134034,41.7,41.7,1212.0,1212.0,70.34,70.34,0.54,0.54,7.16,7.21,59.85,59.85
8,216,2,0.7322343587875366,0.567848265171051,0.0,0.6428934023343714,BA,PB,0.942857,0.942857,0.314286,0.314286,0.077085,0.077085,0.054339,0.054339,0.865628,0.865628,0.001264,0.001264,0.51166,0.51166,48.010974,48.010974,11,11,9.289244,9.289244,13362.85,13362.85,9.500308,9.500308,0.285199,0.285199,0.492325,0.492325,0.040118,0.040118,0.134034,0.134034,41.7,41.7,1212.0,1212.0,70.34,70.34,0.54,0.54,7.16,8.89,59.85,59.85
8,216,3,0.7322343587875366,0.34552693367004395,0.0,0.6428934023343714,BA,CE,0.942857,0.942857,0.314286,0.314286,0.077085,0.077085,0.054339,0.054339,0.865628,0.865628,0.001264,0.001264,0.51166,0.51166,48.010974,48.010974,11,11,9.289244,9.289244,13362.85,13362.85,9.500308,9.500308,0.285199,0.285199,0.492325,0.492325,0.040118,0.040118,0.134034,0.134034,41.7,41.7,1212.0,1212.0,70.34,70.34,0.54,0.54,7.16,7.16,59.85,59.85
9,200,1,0.7437160015106201,0.4775432348251343,0.0,0.6543750450574549,BA,BA,0.943396,0.943396,0.132075,0.132075,0.122855,0.122855,0.083853,0.083853,0.783541,0.783541,0.00429,0.00429,0.444139,0.121053,48.534799,48.534799,9,50,9.680906,9.680906,19852.2,19852.2,9.89612,9.89612,0.299169,0.299169,0.469038,0.469038,0.016654,0.016654,0.161296,0.161296,47.31,47.31,1200.0,1200.0,70.56,70.56,0.54,0.54,7.62,7.62,61.15,61.15
9,200,2,0.7437160015106201,0.46682095527648926,0.0,0.6543750450574549,BA,BA,0.943396,0.943396,0.132075,0.132075,0.122855,0.122855,0.083853,0.083853,0.783541,0.783541,0.00429,0.00429,0.444139,0.082189,48.534799,48.534799,9,20,9.680906,9.680906,19852.2,19852.2,9.89612,9.89612,0.299169,0.299169,0.469038,0.469038,0.016654,0.016654,0.161296,0.161296,47.31,47.31,1200.0,1200.0,70.56,70.56,0.54,0.54,7.62,7.62,61.15,61.15
9,200,3,0.7437160015106201,0.3229686915874481,0.0,0.6543750450574549,BA,PE,0.943396,0.943396,0.132075,0.132075,0.122855,0.122855,0.083853,0.083853,0.783541,0.783541,0.00429,0.00429,0.444139,0.444139,48.534799,48.534799,9,9,9.680906,9.680906,19852.2,19852.2,9.89612,9.89612,0.299169,0.299169,0.469038,0.469038,0.016654,0.016654,0.161296,0.161296,47.31,47.31,1200.0,1200.0,70.56,70.56,0.54,0.54,7.62,7.62,61.15,37.07
10,179,1,0.7775499820709229,0.3853481411933899,0.0,0.6882090256177577,BA,BA,0.948718,0.948718,0.205128,0.205128,0.147789,0.147789,0.15534,0.15534,0.694175,0.694175,0.001079,0.001079,0.574627,0.055456,97.014925,97.014925,6,6,8.963032,9.422429,11330.56,11330.56,9.335347,9.335347,0.279541,0.279541,0.447368,0.447368,0.010865,0.010865,0.146635,0.146635,54.79,54.79,1212.0,1212.0,54.51,54.51,0.5,0.5,10.7,10.7,53.33,53.33
10,179,2,0.7775499820709229,0.3491894602775574,0.0,0.6882090256177577,BA,PI,0.948718,0.948718,0.205128,0.205128,0.147789,0.147789,0.15534,0.202147,0.694175,0.694175,0.001079,0.001079,0.574627,0.574627,97.014925,97.014925,6,6,8.963032,8.963032,11330.56,11330.56,9.335347,9.335347,0.279541,0.279541,0.447368,0.447368,0.010865,0.010865,0.146635,0.146635,54.79,54.79,1212.0,1212.0,54.51,54.51,0.5,0.5,10.7,10.7,53.33,53.33
10,179,3,0.7775499820709229,0.39139091968536377,0.0,0.6882090256177577,BA,SE,0.948718,0.948718,0.205128,0.205128,0.147789,0.147789,0.15534,0.15534,0.694175,0.694175,0.001079,0.001079,0.574627,0.574627,97.014925,97.014925,6,6,8.963032,8.963032,11330.56,11330.56,9.335347,9.335347,0.279541,0.279541,0.447368,0.447368,0.010865,0.010865,0.146635,0.146635,54.79,54.79,1212.0,1212.0,54.51,54.51,0.5,0.5,10.7,10.7,53.33,53.33
