number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_k_features,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_rmse_cv_std,state
39,0.3130670012111793,2026-06-20 00:33:09.668519,2026-06-20 00:33:12.478459,0 days 00:00:02.809940,0.8733881138664686,88,0.016329442577886336,3,37,782,30,1.3702861089874716e-07,8.374036708354861e-05,0.9250163703210728,0.00930148616529334,COMPLETE
40,0.31276231605041094,2026-06-20 00:33:12.478580,2026-06-20 00:33:13.523653,0 days 00:00:01.045073,0.9432139415183854,74,0.031087924171819534,5,57,134,74,0.054660239393316004,1.4436367802613216e-05,0.9786142068120312,0.009309390484855016,COMPLETE
41,0.3114719046280584,2026-06-20 00:33:13.523774,2026-06-20 00:33:14.443085,0 days 00:00:00.919311,0.9455837041449263,66,0.03602908059834761,3,54,177,34,0.001985259406621883,6.637130932134742e-06,0.9528853935537049,0.008287690732299173,COMPLETE
42,0.3131445477957836,2026-06-20 00:33:14.443200,2026-06-20 00:33:15.625060,0 days 00:00:01.181860,0.999702280014183,56,0.03494909770719988,4,61,202,40,0.4720802532022204,1.6384991031296218e-06,0.9501936725957296,0.008090543575991331,COMPLETE
43,0.3155290111035468,2026-06-20 00:33:15.625180,2026-06-20 00:33:17.100583,0 days 00:00:01.475403,0.9738549539337604,64,0.05135534209801316,3,43,359,54,4.010542287486623e-06,5.769490513911712e-06,0.663726178874503,0.008925881804485176,COMPLETE
44,0.3113513555820359,2026-06-20 00:33:17.100704,2026-06-20 00:33:18.302261,0 days 00:00:01.201557,0.9495251291186428,50,0.025369415678501026,3,49,271,21,0.0006729725137280543,3.132708535848043e-05,0.9304335980083054,0.008373665891188193,COMPLETE
45,0.3116638119410978,2026-06-20 00:33:18.302378,2026-06-20 00:33:19.955444,0 days 00:00:01.653066,0.9640345354782065,49,0.022203447937890083,4,50,315,20,0.00034240168612659753,9.048904766482914e-05,0.9355498723102257,0.008016857998074419,COMPLETE
46,0.3124219707665962,2026-06-20 00:33:19.955565,2026-06-20 00:33:21.125618,0 days 00:00:01.170053,0.6375920532645806,40,0.025690101484827355,3,48,262,27,1.1554197059466003e-05,0.0003267855106496459,0.9078321917620533,0.008641128063328726,COMPLETE
47,0.31285531014611606,2026-06-20 00:33:21.125743,2026-06-20 00:33:23.303251,0 days 00:00:02.177508,0.9816979743818322,57,0.014515363377991627,4,37,403,48,0.24538117060678272,2.903470916175671e-05,0.9988284975843902,0.008463333570744105,COMPLETE
48,0.31212824560153624,2026-06-20 00:33:23.303375,2026-06-20 00:33:24.810252,0 days 00:00:01.506877,0.9013784403934537,52,0.011489053608196475,3,26,340,26,0.004092259170826495,5.616551926630072e-07,0.9215894359589057,0.009519333982055504,COMPLETE
49,0.31512518702989567,2026-06-20 00:33:24.810371,2026-06-20 00:33:26.261629,0 days 00:00:01.451258,0.8762018795191338,78,0.06092333798555877,6,40,143,20,3.1005508399152983,0.4016273337878918,0.885532909203664,0.009584824887335051,COMPLETE
50,0.31558500973661324,2026-06-20 00:33:26.261758,2026-06-20 00:33:28.344495,0 days 00:00:02.082737,0.686651147701651,73,0.0410174634198716,8,51,234,31,0.01423299647569406,2.670716314592081e-06,0.9506846364715682,0.010283740281908583,COMPLETE
51,0.31125009030456685,2026-06-20 00:33:28.344620,2026-06-20 00:33:29.343978,0 days 00:00:00.999358,0.9400695451396727,68,0.03719878424376264,3,56,208,36,0.0006799497110185681,1.7994863370495116e-05,0.9743988921674404,0.008412758047679322,COMPLETE
52,0.31190155398877656,2026-06-20 00:33:29.344110,2026-06-20 00:33:30.535123,0 days 00:00:01.191013,0.9263770006570236,63,0.03275007537984237,3,47,270,45,0.0006970730566619866,6.293296377375508e-05,0.9360812633838884,0.008228758018444837,COMPLETE
53,0.31167108048682407,2026-06-20 00:33:30.535246,2026-06-20 00:33:31.778403,0 days 00:00:01.243157,0.9478297517454659,51,0.02684530704636489,4,56,214,41,0.00013373362674329133,2.2585721310666695e-05,0.9823608060089789,0.008257342229700478,COMPLETE
54,0.3156929591589743,2026-06-20 00:33:31.778536,2026-06-20 00:33:32.585239,0 days 00:00:00.806703,0.9810145274732833,43,0.02112772656994499,3,67,137,33,0.0039728425385399755,0.000183755462439206,0.9544424888531611,0.009014771412934188,COMPLETE
55,0.3136116927578053,2026-06-20 00:33:32.585366,2026-06-20 00:33:33.456271,0 days 00:00:00.870905,0.9604722545500647,57,0.05155548929068762,3,62,162,24,0.06272463613926754,6.100594061386891e-06,0.9641664481412199,0.008734579034112564,COMPLETE
56,0.31249804362530276,2026-06-20 00:33:33.456401,2026-06-20 00:33:34.298552,0 days 00:00:00.842151,0.910282269222515,71,0.03488045394047302,4,44,103,37,3.9037803960523696e-05,1.0232876370194303e-06,0.917424330762866,0.008936948011827223,COMPLETE
57,0.3117082620109299,2026-06-20 00:33:34.298686,2026-06-20 00:33:35.583386,0 days 00:00:01.284700,0.9402963213455067,77,0.017555440633079494,4,51,218,50,1.708220586935565e-06,2.9328476377995208e-06,0.9826305164679814,0.008300011011246168,COMPLETE
58,0.32128904291659255,2026-06-20 00:33:35.583511,2026-06-20 00:33:38.044342,0 days 00:00:02.460831,0.9846427900924207,63,0.046733233949947134,12,58,275,30,0.00022729182305119807,2.0780420798823578e-07,0.9344230311268361,0.0101044642841642,COMPLETE
59,0.3282507902403454,2026-06-20 00:33:38.044459,2026-06-20 00:33:40.979419,0 days 00:00:02.934960,0.9195252587484158,65,0.06809645981534226,10,35,321,16,0.000793612163989528,1.9185243543641377e-05,0.9024977229224314,0.010225089212464802,COMPLETE
60,0.3182739716252644,2026-06-20 00:33:40.979542,2026-06-20 00:33:43.373196,0 days 00:00:02.393654,0.9588502462273061,46,0.04113122748277677,5,43,363,20,0.7335412306172268,5.042611981884004e-05,0.9630946434008713,0.009172254060436529,COMPLETE
61,0.3110815904051003,2026-06-20 00:33:43.373319,2026-06-20 00:33:44.299065,0 days 00:00:00.925746,0.9439695383119643,70,0.03751552252851367,3,52,179,35,0.0016785475299716827,8.838597555192403e-06,0.9856299502441069,0.008807064540907125,COMPLETE
62,0.31163082715640916,2026-06-20 00:33:44.299190,2026-06-20 00:33:45.213738,0 days 00:00:00.914548,0.990154397933451,69,0.02944017930916032,3,48,169,35,0.001709866883430813,5.556493126551172e-06,0.9900492482236362,0.008509994125669983,COMPLETE
63,0.3117880403618226,2026-06-20 00:33:45.213863,2026-06-20 00:33:46.324519,0 days 00:00:01.110656,0.9526221471339211,60,0.03686266055495472,3,55,243,44,0.01620789152280694,0.00012894953457764143,0.9444995666360967,0.008236575633012961,COMPLETE
64,0.3112678844655504,2026-06-20 00:33:46.324639,2026-06-20 00:33:47.369483,0 days 00:00:01.044844,0.9338658516022253,81,0.0275266602373566,3,53,201,26,0.0030800317708825535,2.530882697363213e-06,0.9994807311935123,0.008098960690226045,COMPLETE
65,0.3131155613344572,2026-06-20 00:33:47.369609,2026-06-20 00:33:48.423113,0 days 00:00:01.053504,0.757382389765499,80,0.0233153472784315,3,60,209,25,0.10068382375542892,3.910488242514025e-07,0.9971112550350318,0.008985728255503776,COMPLETE
66,0.31206530221792045,2026-06-20 00:33:48.423244,2026-06-20 00:33:50.048353,0 days 00:00:01.625109,0.9297212244281733,74,0.027057231973928408,4,52,284,28,9.424527627969491e-05,2.8710651658030093e-06,0.9707065554866544,0.008051570248375536,COMPLETE
67,0.31110601892738254,2026-06-20 00:33:50.048470,2026-06-20 00:33:51.223771,0 days 00:00:01.175301,0.9680047523321045,85,0.03234646099847535,3,46,235,38,0.0003137242616219944,1.9727648548762226e-05,0.984654406868507,0.008391046999827168,COMPLETE
68,0.31401849301245754,2026-06-20 00:33:51.223894,2026-06-20 00:33:52.224727,0 days 00:00:01.000833,0.8815040130818252,98,0.05727745755061692,4,39,129,39,0.0002882744121380238,4.286059478005815e-05,0.9852522845165951,0.009992513831265192,COMPLETE
69,0.31182046885349424,2026-06-20 00:33:52.224853,2026-06-20 00:33:53.435749,0 days 00:00:01.210896,0.8524330227683717,90,0.03204805806136521,3,42,249,30,4.196873874749388e-05,1.6303119864256822e-05,0.7436454762875507,0.00886996073410135,COMPLETE
70,0.3118332823369909,2026-06-20 00:33:53.435874,2026-06-20 00:33:54.485065,0 days 00:00:01.049191,0.9153325765056725,85,0.04577687438493642,3,46,194,90,1.9053697897480206e-05,1.6698655126321292e-06,0.9803031719757371,0.008845451962749254,COMPLETE
71,0.31098002318418266,2026-06-20 00:33:54.485193,2026-06-20 00:33:55.402160,0 days 00:00:00.916967,0.9679603026056159,87,0.039433590271887725,3,49,155,41,0.003570979942199841,9.761826453874341e-06,0.9644654587054127,0.008551262266334398,COMPLETE
72,0.3112402057310738,2026-06-20 00:33:55.402282,2026-06-20 00:33:56.286076,0 days 00:00:00.883794,0.9689762666658026,93,0.04074801745615233,3,49,143,41,0.0025645441687258807,4.122396977689128e-06,0.9998489949787095,0.008403322858010242,COMPLETE
73,0.31131680600447886,2026-06-20 00:33:56.286200,2026-06-20 00:33:57.200157,0 days 00:00:00.913957,0.9653046606480535,96,0.04120442880892936,3,49,154,46,0.0035586303785107207,1.9955845566060517e-05,0.9900190002806086,0.008226635850031257,COMPLETE
74,0.3116098325352593,2026-06-20 00:33:57.200282,2026-06-20 00:33:58.266177,0 days 00:00:01.065895,0.9675221812551595,93,0.04038941176486072,4,45,150,48,0.00265245627929411,7.282998483692318e-07,0.9974035727713831,0.00876681984911429,COMPLETE
75,0.31154761329492586,2026-06-20 00:33:58.266308,2026-06-20 00:33:59.086915,0 days 00:00:00.820607,0.9348662111668089,96,0.0535584035356521,3,53,121,57,0.005162786380952503,1.1154756042942382e-05,0.962067465590174,0.0081000398007055,COMPLETE
76,0.3151857893764097,2026-06-20 00:33:59.087041,2026-06-20 00:34:00.462971,0 days 00:00:01.375930,0.9683853668205862,100,0.04862174881178073,4,14,161,42,0.01115013818201067,3.7201024146330507e-06,0.9883976761145289,0.011652499071236288,COMPLETE
77,0.3124452190712342,2026-06-20 00:34:00.463122,2026-06-20 00:34:01.248079,0 days 00:00:00.784957,0.9274975658656015,86,0.03371356738332302,3,50,111,117,0.001063036196759242,0.00028426385028929013,0.9719487335495045,0.008711834707908435,COMPLETE
78,0.31132593565346606,2026-06-20 00:34:01.248206,2026-06-20 00:34:02.248671,0 days 00:00:01.000465,0.9018127960004632,90,0.03025668924269917,3,57,190,53,0.022020933355276755,9.385293553940512e-06,0.9884825840169805,0.008495198340990225,COMPLETE
79,0.3141181196607527,2026-06-20 00:34:02.248799,2026-06-20 00:34:03.251862,0 days 00:00:01.003063,0.9592776052701043,81,0.042061025899378456,4,63,157,46,0.0004084756392844407,2.1524607327731873e-05,0.9603360201303731,0.007791322310598391,COMPLETE
80,0.31187782239335554,2026-06-20 00:34:03.251993,2026-06-20 00:34:04.370169,0 days 00:00:01.118176,0.9887784973026016,96,0.037777039768990286,3,39,236,65,0.00797300865919359,7.41587976762809e-05,0.998789107476493,0.008793553229636014,COMPLETE
81,0.31102246394460525,2026-06-20 00:34:04.370294,2026-06-20 00:34:05.313096,0 days 00:00:00.942802,0.8925206999336295,91,0.030722093934924782,3,56,179,55,0.03564522381533115,8.54472362770168e-06,0.9737198807304362,0.008942995340015851,COMPLETE
82,0.3117168581672735,2026-06-20 00:34:05.313219,2026-06-20 00:34:06.258526,0 days 00:00:00.945307,0.937635116762591,91,0.03389324273962312,3,55,181,59,0.03428751724193265,4.230847216436002e-06,0.9707405172133817,0.008558641652525878,COMPLETE
83,0.3115752656369949,2026-06-20 00:34:06.258649,2026-06-20 00:34:07.053087,0 days 00:00:00.794438,0.8213812084968979,94,0.04464843713442215,3,52,126,50,0.003209835723754509,7.781887171012585e-06,0.977605047607076,0.008716729444647721,COMPLETE
84,0.3121514856640156,2026-06-20 00:34:07.053213,2026-06-20 00:34:08.202886,0 days 00:00:01.149673,0.8939055770294965,87,0.030533300075978556,4,59,199,43,0.007082770297487999,1.1749586982761125e-06,0.9587175020075936,0.009084231706387579,COMPLETE
85,0.31366629980515875,2026-06-20 00:34:08.203017,2026-06-20 00:34:09.053572,0 days 00:00:00.850555,0.9744622376897322,83,0.038840980805206024,3,66,158,37,0.000990899397194136,2.386864139677271e-06,0.9430090192632279,0.007976373790111254,COMPLETE
86,0.31238493117898875,2026-06-20 00:34:09.053710,2026-06-20 00:34:09.763770,0 days 00:00:00.710060,0.8642550993107911,88,0.0718423670483067,3,49,102,55,0.0001975242961103929,1.630358607222304e-05,0.9885913847087555,0.008557874724427242,COMPLETE
87,0.31210033835711104,2026-06-20 00:34:09.763902,2026-06-20 00:34:11.057449,0 days 00:00:01.293547,0.9523412154456424,80,0.028102985878836417,4,56,232,33,0.0005041859845847597,0.00014139274888047088,0.9732107373950727,0.007919024663962923,COMPLETE
88,0.31333954524311736,2026-06-20 00:34:11.057572,2026-06-20 00:34:11.981910,0 days 00:00:00.924338,0.9200964124534433,98,0.05768779301876278,3,45,175,40,0.002152396753624939,4.102639627848543e-05,0.9995332252924978,0.008678582217686321,COMPLETE
89,0.32052986291659613,2026-06-20 00:34:11.982040,2026-06-20 00:34:14.861993,0 days 00:00:02.879953,0.9435273610290148,93,0.03604198516939326,3,53,802,69,0.040256413589800435,2.1015119113704137e-06,0.9683870165634514,0.009667366952468559,COMPLETE
90,0.31194802713105774,2026-06-20 00:34:14.862172,2026-06-20 00:34:15.869826,0 days 00:00:01.007654,0.9706730753750662,84,0.022857462645638683,4,47,142,51,0.0012183452997504445,0.0006767944643901979,0.953095333675229,0.008468955334941136,COMPLETE
91,0.31138956226040493,2026-06-20 00:34:15.869958,2026-06-20 00:34:16.922593,0 days 00:00:01.052635,0.9016897230028562,90,0.030079802660021186,3,58,201,46,0.012882260558760884,1.1241331863742793e-05,0.9879372249703876,0.008646459936811924,COMPLETE
92,0.31143649830224673,2026-06-20 00:34:16.922780,2026-06-20 00:34:17.944501,0 days 00:00:01.021721,0.9080223446481821,89,0.03216308796909737,3,57,193,63,0.02128675292070079,8.317972938463422e-06,0.9818231935093166,0.00831185257031501,COMPLETE
93,0.3137270159357203,2026-06-20 00:34:17.944656,2026-06-20 00:34:19.104046,0 days 00:00:01.159390,0.886051181812307,92,0.04933853385788358,3,61,256,53,0.005616482515684805,4.5202505283931095e-06,0.9896427484353282,0.008691234370006993,COMPLETE
94,0.3109978266775778,2026-06-20 00:34:19.104186,2026-06-20 00:34:20.309600,0 days 00:00:01.205414,0.9313590046406169,76,0.02545404413735812,3,51,225,37,0.0031000210510846488,2.2916973814250946e-05,0.9765988987889634,0.008435701211138675,COMPLETE
95,0.3116915605151799,2026-06-20 00:34:20.309739,2026-06-20 00:34:22.012373,0 days 00:00:01.702634,0.9291063194413816,77,0.025937528494569807,4,50,295,37,0.0023583334093011717,2.5618779561691517e-05,0.9456077752201826,0.00836910971168651,COMPLETE
96,0.31194178351233803,2026-06-20 00:34:22.012513,2026-06-20 00:34:23.166204,0 days 00:00:01.153691,0.957073244816205,72,0.020963356871765714,3,48,218,40,0.002958158700542223,4.655536164349362e-05,0.9765620966262082,0.008655133675134683,COMPLETE
97,0.3114257276255115,2026-06-20 00:34:23.166338,2026-06-20 00:34:23.989303,0 days 00:00:00.822965,0.9467783326726422,76,0.04320414569492804,3,51,124,32,0.0013616810339833801,1.330481537381606e-05,0.9579001660614586,0.00838048689067294,COMPLETE
98,0.31219375429287294,2026-06-20 00:34:23.989460,2026-06-20 00:34:25.199459,0 days 00:00:01.209999,0.9381104068459032,75,0.039069826398352714,3,53,224,43,0.00015150121207877377,9.870193575844763e-07,0.9637679869001817,0.00828754497537069,COMPLETE
99,0.31630377714470087,2026-06-20 00:34:25.199595,2026-06-20 00:34:28.019453,0 days 00:00:02.819858,0.9906267949987501,68,0.02501592095226631,4,42,558,36,0.00861290497964888,5.936711715646789e-06,0.9783913894999103,0.007792918240091242,COMPLETE
100,0.3115647654105072,2026-06-20 00:34:28.019575,2026-06-20 00:34:29.157672,0 days 00:00:01.138097,0.9641431723050904,79,0.01940843708034518,3,55,256,48,0.00041719717455174373,2.43803314587894e-05,0.939478426734574,0.008976233521673706,COMPLETE
101,0.31103293297592804,2026-06-20 00:34:29.157791,2026-06-20 00:34:30.072788,0 days 00:00:00.914997,0.8975058632942152,86,0.028892368982245488,3,57,180,57,0.022650960107905904,8.87089270193119e-06,0.9901789485562795,0.008800314578667114,COMPLETE
102,0.3184341384393283,2026-06-20 00:34:30.072916,2026-06-20 00:34:30.954045,0 days 00:00:00.881129,0.9157048991578675,20,0.027616293422022285,3,49,166,61,0.005532467759006207,3.9800655564176374e-06,0.9933586965442882,0.00883504851797607,COMPLETE
103,0.31124954362967383,2026-06-20 00:34:30.954171,2026-06-20 00:34:31.895398,0 days 00:00:00.941227,0.8693238646565078,82,0.03469177466846952,3,46,144,39,0.06580075516891441,6.0952407949252235e-05,0.9679000833279279,0.009071561001679699,COMPLETE
104,0.3116398074125627,2026-06-20 00:34:31.895694,2026-06-20 00:34:32.860056,0 days 00:00:00.964362,0.859216367648151,82,0.035038656000146134,3,44,177,28,0.20566351087977003,5.6857155282586785e-05,0.9660889889594281,0.008494886211349362,COMPLETE
105,0.3122857111496926,2026-06-20 00:34:32.860189,2026-06-20 00:34:34.133826,0 days 00:00:01.273637,0.8326568427798163,85,0.031614368329186515,4,46,210,35,0.10577649506654237,0.00010821807006822474,0.9535987563367814,0.00868499723528483,COMPLETE
106,0.31460208202190454,2026-06-20 00:34:34.133950,2026-06-20 00:34:36.484551,0 days 00:00:02.350601,0.8652588290700054,86,0.028540029620174323,3,54,664,38,0.05250909689392481,0.08797714668967893,0.91612448953414,0.00945149247093506,COMPLETE
107,0.31121085842942015,2026-06-20 00:34:36.484681,2026-06-20 00:34:37.484246,0 days 00:00:00.999565,0.877727875153241,70,0.03615427576364659,4,51,146,32,0.07222558347155847,1.7253196130355581e-06,0.9312889830523162,0.008271155505876681,COMPLETE
108,0.3128571274191351,2026-06-20 00:34:37.484380,2026-06-20 00:34:38.578341,0 days 00:00:01.093961,0.8723145441514164,69,0.03564765884792722,5,51,141,72,0.0727430310868316,0.00021649965631840602,0.9287177511379563,0.008843652914480566,COMPLETE
109,0.313540638746623,2026-06-20 00:34:38.578469,2026-06-20 00:34:39.440820,0 days 00:00:00.862351,0.8472364809647696,72,0.038071647509458524,4,60,121,82,0.14774322955387603,7.74769052698327e-06,0.9476931982657643,0.008551202890159374,COMPLETE
110,0.3135877810758846,2026-06-20 00:34:39.440957,2026-06-20 00:34:40.604625,0 days 00:00:01.163668,0.8819728212990507,78,0.04811859291811821,4,47,182,41,0.2938718840278954,1.4274461931736129e-05,0.6510974263642535,0.00889086707280726,COMPLETE
111,0.3116737073230415,2026-06-20 00:34:40.604754,2026-06-20 00:34:41.450330,0 days 00:00:00.845576,0.8948101718367848,83,0.033508151603667366,3,52,146,32,0.02585643515374736,2.0367140309226914e-06,0.9819655761505706,0.008756228750730182,COMPLETE
112,0.34271581621018193,2026-06-20 00:34:41.450457,2026-06-20 00:34:42.504708,0 days 00:00:01.054251,0.9237352022188462,6,0.024513940431622454,3,56,227,25,0.015609964163141704,2.8531875171498004e-05,0.9704887886794745,0.00836334645784083,COMPLETE
113,0.3116296935274911,2026-06-20 00:34:42.504841,2026-06-20 00:34:43.513803,0 days 00:00:01.008962,0.8895950154171335,88,0.031539103710363066,3,54,205,34,0.04272214766966257,4.3956198170717493e-07,0.9995133689552371,0.008254073981647212,COMPLETE
114,0.3116672120295951,2026-06-20 00:34:43.513931,2026-06-20 00:34:44.430484,0 days 00:00:00.916553,0.9076942037227621,75,0.04346104863557611,3,43,172,30,0.0006856225628017348,7.505290120163852e-07,0.9348446060992547,0.008872677818846004,COMPLETE
115,0.31315190626926287,2026-06-20 00:34:44.430620,2026-06-20 00:34:45.207896,0 days 00:00:00.777276,0.8398006419937634,70,0.026942686650011732,3,51,113,39,0.0101734693780147,4.9130356343614735e-06,0.9793770720853713,0.008599215640046554,COMPLETE
116,0.312983747675586,2026-06-20 00:34:45.208024,2026-06-20 00:34:46.696632,0 days 00:00:01.488608,0.9785973587151856,66,0.03653599020040806,4,45,246,28,5.968698803961899e-05,1.698044697928263e-06,0.959106128787499,0.007888864686969223,COMPLETE
117,0.31218365281560784,2026-06-20 00:34:46.696753,2026-06-20 00:34:47.964053,0 days 00:00:01.267300,0.9532058750837844,80,0.03949909961506918,3,48,284,33,0.37639014722253905,0.00042812132908085735,0.969297261335294,0.008587529398654484,COMPLETE
118,0.3119342073413047,2026-06-20 00:34:47.964179,2026-06-20 00:34:48.916734,0 days 00:00:00.952555,0.8763077455514059,64,0.021970491815793372,3,58,189,23,0.0018595845200456548,3.246017435698892e-06,0.9925434026734988,0.00893118497954656,COMPLETE
119,0.31295051188871026,2026-06-20 00:34:48.916856,2026-06-20 00:34:50.133315,0 days 00:00:01.216459,0.9359054212334423,73,0.02933098204021429,5,41,135,42,0.08816814809384865,7.686614660153727e-06,0.9834902680801221,0.008986142172127615,COMPLETE
120,0.312087194608597,2026-06-20 00:34:50.133448,2026-06-20 00:34:50.971370,0 days 00:00:00.837922,0.6993128575497447,81,0.034489156446075524,4,50,100,56,0.004581090948800544,6.912742165102382e-05,0.9502293513351684,0.008861928111017174,COMPLETE
