NU_ANO_CENSO;CO_MUNICIPIO;NO_MUNICIPIO;SG_UF;TAXA_CRE_INT;PROP_ESC_PUBLICA;PROP_ESC_URBANA;PROP_MAT_BRANCA;PROP_MAT_PRETA;PROP_MAT_PARDA;PROP_MAT_INDIGENA;COBERTURA_CRECHE_0_3;CRECHE_POR_1000_HAB;ESCOLAS_CRECHE_POR_1000_CRIAN;MEDIA_MAT_0_3_POR_ESCOLA;PROP_POP_0_4;LOG_POP_TOTAL;LOG_POP_0_4;PIB_PC;LOG_PIB_PC;TAXA_OCUP_FEM;TAXA_OCUP_MASC;PROP_MAES_JOVENS;PROP_DOM_SEM_CONJUGE;PROP_DOM_SEM_CONJUGE_MULHER;PROP_DOM_SEM_CONJUGE_HOMEM;PROP_MULHER_ENTRE_RESP_SEM_CONJUGE;PERC_RENDA_OUTRAS_FONTES;RAZAO_OUTRAS_FONTES_TRABALHO;RENDA_MEDIANA_RESPONSAVEL;LOG_RENDA_MEDIANA_RESPONSAVEL;IDH_PROP_POBREZA;IDH_PROP_POBREZA_CRIANCAS;IDH_PROP_VULNER_POBREZA;IDH_GINI;IDH_EXPECT_ANOS_ESTUDO;IDH_RAZAO_DEPENDENCIA
2022;2305506;Iguatu;CE;0.616104;0.678571;0.738095;0.320132;0.007422;0.670887;0.000312;0.271607;19.630038;13.444302;20;0.063713;11.493386;8.740177;20951.0;9.949989;0.387646;0.617661;0.008687;0.178015;0.158699;0.019316;0.891493;32.97;0.491869;1212.0;7.100852;24.31;38.8;50.24;0.54;9.49;48.69
2022;2305605;Independência;CE;0.0;0.886792;0.245283;0.335652;0.01913;0.64058;0.001739;0.294818;19.56377;37.114846;8;0.059441;10.08685;7.26473;14463.37;9.579444;0.257117;0.402765;0.009583;0.153083;0.132176;0.020907;0.863426;56.14;1.279982;1200.0;7.09091;45.52;61.55;68.32;0.55;9.92;55.72
2022;2305654;Ipaporanga;CE;0.0;1.0;0.333333;0.195296;0.00294;0.800504;0.0;0.383008;26.609071;12.534819;31;0.06203;9.356689;6.577861;10088.29;9.21923;0.182737;0.288931;0.026127;0.157246;0.137939;0.019307;0.877219;65.32;1.883506;1200.0;7.09091;55.78;75.32;76.24;0.55;9.79;65.23
2022;2305704;Ipaumirim;CE;0.02649;0.846154;0.923077;0.267191;0.001965;0.727898;0.0;0.323495;24.993793;15.348288;21;0.070098;9.399638;6.742881;13834.15;9.534968;0.297292;0.489002;0.016816;0.158076;0.134266;0.02381;0.849379;52.4;1.10084;1212.0;7.100852;36.35;55.46;63.58;0.63;8.91;56.94
2022;2305803;Ipu;CE;0.0;0.866667;0.466667;0.335171;0.011735;0.650249;0.001778;0.350068;26.727684;25.614754;14;0.071274;10.623325;7.982416;13998.49;9.546776;0.287458;0.50139;0.014068;0.186384;0.160628;0.025755;0.861817;47.17;0.892864;1200.0;7.09091;42.15;59.03;66.43;0.56;8.82;60.38
2022;2305902;Ipueiras;CE;0.046005;0.95;0.483333;0.135611;0.008454;0.851534;0.001042;0.301437;22.446872;24.640657;12;0.066172;10.513226;7.798113;10478.34;9.257161;0.230749;0.345431;0.009982;0.174682;0.151426;0.023256;0.866868;59.27;1.455193;1200.0;7.09091;51.9;70.66;74.37;0.56;9.61;64.59
2022;2306009;Iracema;CE;0.014862;0.894737;0.684211;0.433084;0.02038;0.546196;0.0;0.492222;33.640454;21.111111;23;0.064281;9.546955;6.803505;15089.07;9.621792;0.270044;0.459968;0.013569;0.171566;0.149677;0.021889;0.872418;47.0;0.886792;1212.0;7.100852;33.85;47.64;61.63;0.55;10.38;53.51
2022;2306108;Irauçuba;CE;0.0;0.981481;0.407407;0.102898;0.014063;0.880123;0.000343;0.192308;16.60046;29.67033;6;0.076103;10.082303;7.507141;10521.47;9.261268;0.21772;0.397338;0.010556;0.203873;0.179054;0.024819;0.878261;46.64;0.874063;1200.0;7.09091;56.58;69.8;76.5;0.61;10.24;62.24
2022;2306207;Itaiçaba;CE;0.0;1.0;0.4;0.203826;0.010302;0.7844;0.000736;0.339367;21.098726;22.624434;15;0.058652;8.92758;6.09357;11860.4;9.381045;0.373367;0.503191;0.006042;0.178014;0.161702;0.016312;0.908367;45.19;0.824485;1212.0;7.100852;26.94;43.55;59.22;0.44;10.97;47.77
2022;2306256;Itaitinga;CE;0.845015;0.731707;0.585366;0.135894;0.021231;0.840569;0.000954;0.222358;15.668987;10.029354;22;0.063233;11.076759;8.316056;24575.62;10.109551;0.451474;0.487597;0.012165;0.147109;0.131793;0.015315;0.895891;18.25;0.223242;1212.0;7.100852;29.31;39.3;61.11;0.45;9.1;48.27
