original_index,counterfactual_id,original_prediction,counterfactual_prediction,desired_low,desired_high,n_total_changes,n_actionable_changes,n_non_actionable_changes,actionable_features,non_actionable_features,prediction_delta,abs_prediction_delta,only_actionable,uses_non_actionable
343,2,0.5967649716246721,0.3472751943954995,0.0,0.5074240151715069,1,1,0,IDH_EXPECT_ANOS_ESTUDO,,-0.24948977722917265,0.24948977722917265,True,False
343,3,0.5967649716246721,0.4107058090847706,0.0,0.5074240151715069,2,2,0,"IDH_RAZAO_DEPENDENCIA, LOG_POP_TOTAL",,-0.1860591625399015,0.1860591625399015,True,False
82,1,0.6178360770460909,0.5120646866798679,0.0,0.5284951205929257,1,1,0,PROP_MAT_BRANCA,,-0.10577139036622296,0.10577139036622296,True,False
82,2,0.6178360770460909,0.5041121441413698,0.0,0.5284951205929257,2,2,0,"PROP_MAT_INDIGENA, TAXA_OCUP_MASC",,-0.11372393290472105,0.11372393290472105,True,False
82,3,0.6178360770460909,0.4983227156400606,0.0,0.5284951205929257,2,2,0,"PROP_DOM_SEM_CONJUGE_MULHER, PROP_MAT_BRANCA",,-0.1195133614060303,0.1195133614060303,True,False
226,1,0.6376068614017033,0.43267063954341,0.0,0.5482659049485381,2,2,0,"IDH_RAZAO_DEPENDENCIA, PROP_DOM_SEM_CONJUGE_MULHER",,-0.2049362218582933,0.2049362218582933,True,False
226,2,0.6376068614017033,0.4462411114642093,0.0,0.5482659049485381,2,2,0,"IDH_EXPECT_ANOS_ESTUDO, MEDIA_MAT_0_3_POR_ESCOLA",,-0.191365749937494,0.191365749937494,True,False
226,3,0.6376068614017033,0.3334378562708571,0.0,0.5482659049485381,2,2,0,"IDH_EXPECT_ANOS_ESTUDO, IDH_RAZAO_DEPENDENCIA",,-0.3041690051308462,0.3041690051308462,True,False
130,1,0.6753907335316078,0.5771949258195664,0.0,0.5860497770784426,2,2,0,"PERC_RENDA_OUTRAS_FONTES, PROP_MAT_BRANCA",,-0.0981958077120414,0.0981958077120414,True,False
130,2,0.6753907335316078,0.5841640808269848,0.0,0.5860497770784426,2,2,0,"PROP_DOM_SEM_CONJUGE_MULHER, PROP_MAT_BRANCA",,-0.09122665270462305,0.09122665270462305,True,False
130,3,0.6753907335316078,0.4989976278283515,0.0,0.5860497770784426,1,1,0,IDH_RAZAO_DEPENDENCIA,,-0.17639310570325634,0.17639310570325634,True,False
