instance_rank,original_index,counterfactual_id,original_prediction,counterfactual_prediction,desired_low,desired_high,original__PROP_ESC_PUBLICA,counterfactual__PROP_ESC_PUBLICA,original__PROP_ESC_URBANA,counterfactual__PROP_ESC_URBANA,original__PROP_MAT_BRANCA,counterfactual__PROP_MAT_BRANCA,original__PROP_MAT_PRETA,counterfactual__PROP_MAT_PRETA,original__PROP_MAT_PARDA,counterfactual__PROP_MAT_PARDA,original__PROP_MAT_INDIGENA,counterfactual__PROP_MAT_INDIGENA,original__COBERTURA_CRECHE_0_3,counterfactual__COBERTURA_CRECHE_0_3,original__ESCOLAS_CRECHE_POR_1000_CRIAN,counterfactual__ESCOLAS_CRECHE_POR_1000_CRIAN,original__MEDIA_MAT_0_3_POR_ESCOLA,counterfactual__MEDIA_MAT_0_3_POR_ESCOLA,original__LOG_POP_TOTAL,counterfactual__LOG_POP_TOTAL,original__PIB_PC,counterfactual__PIB_PC,original__LOG_PIB_PC,counterfactual__LOG_PIB_PC,original__TAXA_OCUP_FEM,counterfactual__TAXA_OCUP_FEM,original__TAXA_OCUP_MASC,counterfactual__TAXA_OCUP_MASC,original__PROP_MAES_JOVENS,counterfactual__PROP_MAES_JOVENS,original__PROP_DOM_SEM_CONJUGE_MULHER,counterfactual__PROP_DOM_SEM_CONJUGE_MULHER,original__PERC_RENDA_OUTRAS_FONTES,counterfactual__PERC_RENDA_OUTRAS_FONTES,original__RENDA_MEDIANA_RESPONSAVEL,counterfactual__RENDA_MEDIANA_RESPONSAVEL,original__IDH_PROP_POBREZA_CRIANCAS,counterfactual__IDH_PROP_POBREZA_CRIANCAS,original__IDH_GINI,counterfactual__IDH_GINI,original__IDH_EXPECT_ANOS_ESTUDO,counterfactual__IDH_EXPECT_ANOS_ESTUDO,original__IDH_RAZAO_DEPENDENCIA,counterfactual__IDH_RAZAO_DEPENDENCIA
7,343,3,0.5967649716246721,0.41070580908477067,0.0,0.5074240151715069,0.888889,0.888889,0.444444,0.444444,0.034091,0.034091,0.413848,0.413848,0.543076,0.543076,0.003171,0.003171,0.322962,0.322962,24.812918,24.812918,13.0,13.0,10.564473,12.450649,654785.04,654785.04,13.392064,13.392064,0.292362,0.292362,0.530379,0.530379,0.015036,0.015036,0.225721,0.225721,35.17,35.17,1212.0,1212.0,24.41,24.41,0.5,0.5,7.91,7.91,46.47,86.28
8,82,1,0.6178360770460909,0.5120646866798679,0.0,0.5284951205929257,0.830769,0.830769,0.430769,0.430769,0.139075,0.586861,0.129898,0.129898,0.71479,0.71479,0.008472,0.008472,0.141176,0.141176,30.588235,30.588235,5.0,5.0,10.394641,10.394641,13416.52,13416.52,9.504316,9.504316,0.341891,0.341891,0.528635,0.528635,0.017473,0.017473,0.146096,0.146096,38.37,38.37,1210.0,1210.0,45.05,45.05,0.51,0.51,7.22,7.22,55.99,55.99
8,82,2,0.6178360770460909,0.5041121441413698,0.0,0.5284951205929257,0.830769,0.830769,0.430769,0.430769,0.139075,0.139075,0.129898,0.129898,0.71479,0.71479,0.008472,0.8,0.141176,0.141176,30.588235,30.588235,5.0,5.0,10.394641,10.394641,13416.52,13416.52,9.504316,9.504316,0.341891,0.341891,0.528635,0.248482,0.017473,0.017473,0.146096,0.146096,38.37,38.37,1210.0,1210.0,45.05,45.05,0.51,0.51,7.22,7.22,55.99,55.99
8,82,3,0.6178360770460909,0.4983227156400606,0.0,0.5284951205929257,0.830769,0.830769,0.430769,0.430769,0.139075,0.768863,0.129898,0.129898,0.71479,0.71479,0.008472,0.008472,0.141176,0.141176,30.588235,30.588235,5.0,5.0,10.394641,10.394641,13416.52,13416.52,9.504316,9.504316,0.341891,0.341891,0.528635,0.528635,0.017473,0.017473,0.146096,0.187774,38.37,38.37,1210.0,1210.0,45.05,45.05,0.51,0.51,7.22,7.22,55.99,55.99
9,226,1,0.6376068614017033,0.43267063954341006,0.0,0.5482659049485381,0.947368,0.947368,0.210526,0.210526,0.121557,0.121557,0.1721,0.1721,0.695982,0.695982,0.000758,0.000758,0.454152,0.454152,27.436823,27.436823,17.0,17.0,9.784817,9.784817,125465.96,125465.96,11.739798,11.739798,0.528555,0.528555,0.694412,0.694412,0.016173,0.016173,0.144015,0.089074,24.27,24.27,1212.0,1212.0,44.37,44.37,0.53,0.53,7.89,7.89,47.86,88.63
9,226,2,0.6376068614017033,0.4462411114642093,0.0,0.5482659049485381,0.947368,0.947368,0.210526,0.210526,0.121557,0.121557,0.1721,0.1721,0.695982,0.695982,0.000758,0.000758,0.454152,0.454152,27.436823,27.436823,17.0,72.0,9.784817,9.784817,125465.96,125465.96,11.739798,11.739798,0.528555,0.528555,0.694412,0.694412,0.016173,0.016173,0.144015,0.144015,24.27,24.27,1212.0,1212.0,44.37,44.37,0.53,0.53,7.89,9.53,47.86,47.86
9,226,3,0.6376068614017033,0.33343785627085715,0.0,0.5482659049485381,0.947368,0.947368,0.210526,0.210526,0.121557,0.121557,0.1721,0.1721,0.695982,0.695982,0.000758,0.000758,0.454152,0.454152,27.436823,27.436823,17.0,17.0,9.784817,9.784817,125465.96,125465.96,11.739798,11.739798,0.528555,0.528555,0.694412,0.694412,0.016173,0.016173,0.144015,0.144015,24.27,24.27,1212.0,1212.0,44.37,44.37,0.53,0.53,7.89,10.56,47.86,82.6
10,130,1,0.6753907335316078,0.5771949258195664,0.0,0.5860497770784426,0.829268,0.829268,0.439024,0.439024,0.109009,0.703071,0.204082,0.204082,0.661025,0.661025,0.006969,0.006969,0.556597,0.556597,27.461487,27.461487,20.0,20.0,10.115085,10.115085,14868.65,14868.65,9.607077,9.607077,0.312396,0.312396,0.508025,0.508025,0.008711,0.008711,0.195178,0.195178,43.88,42.46,1212.0,1212.0,47.73,47.73,0.54,0.54,7.6,7.6,51.88,51.88
10,130,2,0.6753907335316078,0.5841640808269848,0.0,0.5860497770784426,0.829268,0.829268,0.439024,0.439024,0.109009,0.430786,0.204082,0.204082,0.661025,0.661025,0.006969,0.006969,0.556597,0.556597,27.461487,27.461487,20.0,20.0,10.115085,10.115085,14868.65,14868.65,9.607077,9.607077,0.312396,0.312396,0.508025,0.508025,0.008711,0.008711,0.195178,0.213815,43.88,43.88,1212.0,1212.0,47.73,47.73,0.54,0.54,7.6,7.6,51.88,51.88
10,130,3,0.6753907335316078,0.49899762782835155,0.0,0.5860497770784426,0.829268,0.829268,0.439024,0.439024,0.109009,0.109009,0.204082,0.204082,0.661025,0.661025,0.006969,0.006969,0.556597,0.556597,27.461487,27.461487,20.0,20.0,10.115085,10.115085,14868.65,14868.65,9.607077,9.607077,0.312396,0.312396,0.508025,0.508025,0.008711,0.008711,0.195178,0.195178,43.88,43.88,1212.0,1212.0,47.73,47.73,0.54,0.54,7.6,7.6,51.88,80.93
